"query.number"	"significant"	"p.value"	"term.size"	"query.size"	"overlap.size"	"precision"	"recall"	"term.id"	"domain"	"subgraph.number"	"term.name"	"relative.depth"	"intersection"	"IC"
"37"	"mediumpurple3"	TRUE	2.92e-19	493	268	45	0.168	0.091	"GO:0002446"	"BP"	2	"neutrophil mediated immunity"	5	"ENSG00000005844,ENSG00000011600,ENSG00000012779,ENSG00000026297,ENSG00000030582,ENSG00000051523,ENSG00000076944,ENSG00000081237,ENSG00000100504,ENSG00000103490,ENSG00000104043,ENSG00000104774,ENSG00000105383,ENSG00000111679,ENSG00000119655,ENSG00000121691,ENSG00000123329,ENSG00000123338,ENSG00000125730,ENSG00000130755,ENSG00000134516,ENSG00000137462,ENSG00000142583,ENSG00000143119,ENSG00000143162,ENSG00000143226,ENSG00000160255,ENSG00000163131,ENSG00000165025,ENSG00000165168,ENSG00000167613,ENSG00000167851,ENSG00000169385,ENSG00000169403,ENSG00000169896,ENSG00000170458,ENSG00000170909,ENSG00000171051,ENSG00000171860,ENSG00000173083,ENSG00000180448,ENSG00000197249,ENSG00000235568,ENSG00000241839,ENSG00000254415"	8.49387338609462
"38"	"mediumpurple3"	TRUE	7.03e-06	161	268	16	0.06	0.099	"GO:0019882"	"BP"	2	"antigen processing and presentation"	2	"ENSG00000015285,ENSG00000019582,ENSG00000095970,ENSG00000103490,ENSG00000118508,ENSG00000150337,ENSG00000163131,ENSG00000196126,ENSG00000196735,ENSG00000198019,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574"	5.72351930165626
"39"	"mediumpurple3"	TRUE	6.74e-05	98	268	12	0.045	0.122	"GO:0002504"	"BP"	2	"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"	3	"ENSG00000019582,ENSG00000095970,ENSG00000103490,ENSG00000163131,ENSG00000196126,ENSG00000196735,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574"	7.11654769495749
"40"	"mediumpurple3"	TRUE	0.00111	126	268	12	0.045	0.095	"GO:0019884"	"BP"	2	"antigen processing and presentation of exogenous antigen"	3	"ENSG00000019582,ENSG00000150337,ENSG00000163131,ENSG00000196126,ENSG00000196735,ENSG00000198019,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574"	6.23136651666799
"41"	"mediumpurple3"	TRUE	3.03e-05	132	268	14	0.052	0.106	"GO:0048002"	"BP"	2	"antigen processing and presentation of peptide antigen"	3	"ENSG00000019582,ENSG00000095970,ENSG00000103490,ENSG00000150337,ENSG00000163131,ENSG00000196126,ENSG00000196735,ENSG00000198019,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574"	5.8296258076508
"42"	"mediumpurple3"	TRUE	0.000653	120	268	12	0.045	0.1	"GO:0002478"	"BP"	2	"antigen processing and presentation of exogenous peptide antigen"	4	"ENSG00000019582,ENSG00000150337,ENSG00000163131,ENSG00000196126,ENSG00000196735,ENSG00000198019,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574"	6.25773339250873
"43"	"mediumpurple3"	TRUE	5.99e-05	97	268	12	0.045	0.124	"GO:0002495"	"BP"	2	"antigen processing and presentation of peptide antigen via MHC class II"	4	"ENSG00000019582,ENSG00000095970,ENSG00000103490,ENSG00000163131,ENSG00000196126,ENSG00000196735,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574"	7.15324906180792
"44"	"mediumpurple3"	TRUE	0.00372	94	268	10	0.037	0.106	"GO:0019886"	"BP"	2	"antigen processing and presentation of exogenous peptide antigen via MHC class II"	5	"ENSG00000019582,ENSG00000163131,ENSG00000196126,ENSG00000196735,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574"	7.26172970480199
"45"	"mediumpurple3"	TRUE	1.96e-08	572	268	34	0.127	0.059	"GO:0002520"	"BP"	2	"immune system development"	2	"ENSG00000006747,ENSG00000010610,ENSG00000010671,ENSG00000011600,ENSG00000019582,ENSG00000066336,ENSG00000081237,ENSG00000095585,ENSG00000095970,ENSG00000096996,ENSG00000101096,ENSG00000104903,ENSG00000106799,ENSG00000114013,ENSG00000115318,ENSG00000123338,ENSG00000123685,ENSG00000135077,ENSG00000137462,ENSG00000150782,ENSG00000159189,ENSG00000159216,ENSG00000162367,ENSG00000165025,ENSG00000170909,ENSG00000171777,ENSG00000180353,ENSG00000182578,ENSG00000185650,ENSG00000185811,ENSG00000185862,ENSG00000186818,ENSG00000197471,ENSG00000235568"	4.54469223269954
"46"	"mediumpurple3"	TRUE	2.05e-08	541	268	33	0.123	0.061	"GO:0048534"	"BP"	2	"hematopoietic or lymphoid organ development"	3	"ENSG00000006747,ENSG00000010610,ENSG00000010671,ENSG00000011600,ENSG00000019582,ENSG00000066336,ENSG00000081237,ENSG00000095585,ENSG00000095970,ENSG00000096996,ENSG00000101096,ENSG00000104903,ENSG00000106799,ENSG00000114013,ENSG00000115318,ENSG00000123338,ENSG00000123685,ENSG00000137462,ENSG00000150782,ENSG00000159189,ENSG00000159216,ENSG00000162367,ENSG00000165025,ENSG00000170909,ENSG00000171777,ENSG00000180353,ENSG00000182578,ENSG00000185650,ENSG00000185811,ENSG00000185862,ENSG00000186818,ENSG00000197471,ENSG00000235568"	4.62864254217323
